record_id,state,district,city,market_zone,property_type,furnishing,area_sqft,bedrooms,bathrooms,age_years,floor,benchmark_price_per_sqft,estimated_price_per_sqft,estimated_price,reference_date,source,source_type,source_url,is_synthetic,notes
11,Maharashtra,Palghar,Palghar,Main Residential,Apartment,Unfurnished,550,1,1,3,6,6000,5769.49,3170000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
12,Maharashtra,Palghar,Palghar,Main Residential,Apartment,Semi-Furnished,900,2,2,12,6,6000,5528.62,4980000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
13,Maharashtra,Palghar,Palghar,Main Residential,Apartment,Fully Furnished,1350,3,3,15,19,6000,5678.72,7670000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
14,Maharashtra,Palghar,Palghar,Main Residential,Apartment,Fully Furnished,1800,4,4,15,12,6000,6254.13,11260000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
15,Maharashtra,Palghar,Palghar,Main Residential,Independent House,Semi-Furnished,1100,2,2,7,3,6000,5637.52,6200000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
16,Maharashtra,Palghar,Palghar,Main Residential,Independent House,Fully Furnished,1650,3,3,15,5,6000,5788.07,9550000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
17,Maharashtra,Palghar,Palghar,Main Residential,Independent House,Fully Furnished,2300,4,4,1,1,6000,7658.75,17620000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
18,Maharashtra,Palghar,Palghar,Main Residential,Villa,Semi-Furnished,2200,3,3,2,5,6000,7821.37,17210000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
19,Maharashtra,Palghar,Palghar,Main Residential,Villa,Fully Furnished,3000,4,4,1,3,6000,8662.17,25990000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
20,Maharashtra,Palghar,Palghar,Main Residential,Villa,Fully Furnished,4200,5,5,15,3,6000,7727.71,32460000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
21,Maharashtra,Palghar,Palghar,Growth / Peripheral,Apartment,Unfurnished,550,1,1,7,6,6000,4702.15,2590000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
22,Maharashtra,Palghar,Palghar,Growth / Peripheral,Apartment,Semi-Furnished,900,2,2,3,3,6000,5104.97,4590000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
23,Maharashtra,Palghar,Palghar,Growth / Peripheral,Apartment,Fully Furnished,1350,3,3,5,10,6000,5491.52,7410000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
24,Maharashtra,Palghar,Palghar,Growth / Peripheral,Apartment,Fully Furnished,1800,4,4,10,12,6000,5604.01,10090000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
25,Maharashtra,Palghar,Palghar,Growth / Peripheral,Independent House,Semi-Furnished,1100,2,2,15,4,6000,4498.18,4950000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
26,Maharashtra,Palghar,Palghar,Growth / Peripheral,Independent House,Fully Furnished,1650,3,3,12,2,6000,4799.83,7920000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
27,Maharashtra,Palghar,Palghar,Growth / Peripheral,Independent House,Fully Furnished,2300,4,4,15,5,6000,5335.77,12270000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
28,Maharashtra,Palghar,Palghar,Growth / Peripheral,Villa,Semi-Furnished,2200,3,3,2,5,6000,6508.74,14320000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
29,Maharashtra,Palghar,Palghar,Growth / Peripheral,Villa,Fully Furnished,3000,4,4,10,1,6000,6470.12,19410000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
30,Maharashtra,Palghar,Palghar,Growth / Peripheral,Villa,Fully Furnished,4200,5,5,2,4,6000,7737.73,32500000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
31,Maharashtra,Thane,Thane,Core / Established,Apartment,Unfurnished,550,1,1,15,19,9691,10171.8,5590000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
32,Maharashtra,Thane,Thane,Core / Established,Apartment,Semi-Furnished,900,2,2,3,8,9691,12063.63,10860000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
33,Maharashtra,Thane,Thane,Core / Established,Apartment,Fully Furnished,1350,3,3,15,12,9691,10667.63,14400000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
34,Maharashtra,Thane,Thane,Core / Established,Apartment,Fully Furnished,1800,4,4,3,4,9691,13142.48,23660000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
35,Maharashtra,Thane,Thane,Core / Established,Independent House,Semi-Furnished,1100,2,2,12,1,9691,10311.66,11340000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
36,Maharashtra,Thane,Thane,Core / Established,Independent House,Fully Furnished,1650,3,3,5,1,9691,12343.41,20370000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
37,Maharashtra,Thane,Thane,Core / Established,Independent House,Fully Furnished,2300,4,4,3,5,9691,14192.75,32640000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
38,Maharashtra,Thane,Thane,Core / Established,Villa,Semi-Furnished,2200,3,3,10,3,9691,13238.97,29130000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
39,Maharashtra,Thane,Thane,Core / Established,Villa,Fully Furnished,3000,4,4,3,2,9691,15199.17,45600000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
40,Maharashtra,Thane,Thane,Core / Established,Villa,Fully Furnished,4200,5,5,7,4,9691,16735.13,70290000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
41,Maharashtra,Thane,Thane,Main Residential,Apartment,Unfurnished,550,1,1,1,10,9691,9865.04,5430000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
42,Maharashtra,Thane,Thane,Main Residential,Apartment,Semi-Furnished,900,2,2,15,4,9691,8651.19,7790000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
43,Maharashtra,Thane,Thane,Main Residential,Apartment,Fully Furnished,1350,3,3,5,15,9691,10874.44,14680000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
44,Maharashtra,Thane,Thane,Main Residential,Apartment,Fully Furnished,1800,4,4,3,4,9691,11070.05,19930000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
45,Maharashtra,Thane,Thane,Main Residential,Independent House,Semi-Furnished,1100,2,2,12,1,9691,8856.44,9740000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
46,Maharashtra,Thane,Thane,Main Residential,Independent House,Fully Furnished,1650,3,3,3,1,9691,10987.21,18130000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
47,Maharashtra,Thane,Thane,Main Residential,Independent House,Fully Furnished,2300,4,4,3,2,9691,11600.74,26680000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
48,Maharashtra,Thane,Thane,Main Residential,Villa,Semi-Furnished,2200,3,3,15,4,9691,10595.84,23310000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
49,Maharashtra,Thane,Thane,Main Residential,Villa,Fully Furnished,3000,4,4,10,2,9691,12505.0,37520000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
50,Maharashtra,Thane,Thane,Main Residential,Villa,Fully Furnished,4200,5,5,12,4,9691,13513.69,56760000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
51,Maharashtra,Thane,Thane,Growth / Peripheral,Apartment,Unfurnished,550,1,1,12,15,9691,7371.39,4050000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
52,Maharashtra,Thane,Thane,Growth / Peripheral,Apartment,Semi-Furnished,900,2,2,15,14,9691,7170.57,6450000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
53,Maharashtra,Thane,Thane,Growth / Peripheral,Apartment,Fully Furnished,1350,3,3,12,19,9691,8494.84,11470000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
54,Maharashtra,Thane,Thane,Growth / Peripheral,Apartment,Fully Furnished,1800,4,4,3,8,9691,9210.02,16580000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
55,Maharashtra,Thane,Thane,Growth / Peripheral,Independent House,Semi-Furnished,1100,2,2,10,1,9691,7395.86,8140000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
56,Maharashtra,Thane,Thane,Growth / Peripheral,Independent House,Fully Furnished,1650,3,3,1,4,9691,9495.43,15670000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
57,Maharashtra,Thane,Thane,Growth / Peripheral,Independent House,Fully Furnished,2300,4,4,10,4,9691,8787.47,20210000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
58,Maharashtra,Thane,Thane,Growth / Peripheral,Villa,Semi-Furnished,2200,3,3,5,3,9691,9776.14,21510000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
59,Maharashtra,Thane,Thane,Growth / Peripheral,Villa,Fully Furnished,3000,4,4,10,4,9691,9891.1,29670000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
60,Maharashtra,Thane,Thane,Growth / Peripheral,Villa,Fully Furnished,4200,5,5,12,3,9691,10732.34,45080000,2026-09-14,Housing.com Maharashtra property-rate benchmark,published_market_benchmark,https://housing.com/price-trends/property-rates-for-buy-in-maharashtra_india-P3mm15uxln8blpmn0,TRUE,Bootstrap/model-development record; not a raw registered transaction.
61,Maharashtra,Mumbai City,Mumbai,Core / Established,Apartment,Unfurnished,550,1,1,3,16,30000,35243.25,19380000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
62,Maharashtra,Mumbai City,Mumbai,Core / Established,Apartment,Semi-Furnished,900,2,2,5,13,30000,36659.25,32990000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
63,Maharashtra,Mumbai City,Mumbai,Core / Established,Apartment,Fully Furnished,1350,3,3,10,11,30000,35593.79,48050000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
64,Maharashtra,Mumbai City,Mumbai,Core / Established,Apartment,Fully Furnished,1800,4,4,3,17,30000,41502.18,74700000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
65,Maharashtra,Mumbai City,Mumbai,Core / Established,Independent House,Semi-Furnished,1100,2,2,5,1,30000,34579.21,38040000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
66,Maharashtra,Mumbai City,Mumbai,Core / Established,Independent House,Fully Furnished,1650,3,3,12,1,30000,35486.69,58550000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
67,Maharashtra,Mumbai City,Mumbai,Core / Established,Independent House,Fully Furnished,2300,4,4,10,3,30000,38764.46,89160000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
68,Maharashtra,Mumbai City,Mumbai,Core / Established,Villa,Semi-Furnished,2200,3,3,3,4,30000,46045.47,101300000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
69,Maharashtra,Mumbai City,Mumbai,Core / Established,Villa,Fully Furnished,3000,4,4,12,4,30000,43239.3,129720000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
70,Maharashtra,Mumbai City,Mumbai,Core / Established,Villa,Fully Furnished,4200,5,5,12,4,30000,48899.72,205380000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
71,Maharashtra,Mumbai City,Mumbai,Main Residential,Apartment,Unfurnished,550,1,1,10,15,30000,28177.55,15500000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
72,Maharashtra,Mumbai City,Mumbai,Main Residential,Apartment,Semi-Furnished,900,2,2,3,8,30000,32180.08,28960000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
73,Maharashtra,Mumbai City,Mumbai,Main Residential,Apartment,Fully Furnished,1350,3,3,12,12,30000,29693.64,40090000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
74,Maharashtra,Mumbai City,Mumbai,Main Residential,Apartment,Fully Furnished,1800,4,4,5,19,30000,34464.53,62040000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
75,Maharashtra,Mumbai City,Mumbai,Main Residential,Independent House,Semi-Furnished,1100,2,2,5,4,30000,29221.16,32140000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
76,Maharashtra,Mumbai City,Mumbai,Main Residential,Independent House,Fully Furnished,1650,3,3,7,2,30000,31181.44,51450000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
77,Maharashtra,Mumbai City,Mumbai,Main Residential,Independent House,Fully Furnished,2300,4,4,2,3,30000,37409.9,86040000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
78,Maharashtra,Mumbai City,Mumbai,Main Residential,Villa,Semi-Furnished,2200,3,3,10,4,30000,33698.77,74140000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
79,Maharashtra,Mumbai City,Mumbai,Main Residential,Villa,Fully Furnished,3000,4,4,1,5,30000,41363.61,124090000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
80,Maharashtra,Mumbai City,Mumbai,Main Residential,Villa,Fully Furnished,4200,5,5,7,1,30000,42640.44,179090000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
81,Maharashtra,Mumbai City,Mumbai,Growth / Peripheral,Apartment,Unfurnished,550,1,1,1,16,30000,25542.0,14050000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
82,Maharashtra,Mumbai City,Mumbai,Growth / Peripheral,Apartment,Semi-Furnished,900,2,2,2,2,30000,25139.9,22630000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
83,Maharashtra,Mumbai City,Mumbai,Growth / Peripheral,Apartment,Fully Furnished,1350,3,3,1,14,30000,30169.83,40730000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
84,Maharashtra,Mumbai City,Mumbai,Growth / Peripheral,Apartment,Fully Furnished,1800,4,4,5,8,30000,29067.55,52320000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
85,Maharashtra,Mumbai City,Mumbai,Growth / Peripheral,Independent House,Semi-Furnished,1100,2,2,15,3,30000,21942.56,24140000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
86,Maharashtra,Mumbai City,Mumbai,Growth / Peripheral,Independent House,Fully Furnished,1650,3,3,12,3,30000,24884.15,41060000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
87,Maharashtra,Mumbai City,Mumbai,Growth / Peripheral,Independent House,Fully Furnished,2300,4,4,2,3,30000,29494.11,67840000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
88,Maharashtra,Mumbai City,Mumbai,Growth / Peripheral,Villa,Semi-Furnished,2200,3,3,1,5,30000,32856.98,72290000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
89,Maharashtra,Mumbai City,Mumbai,Growth / Peripheral,Villa,Fully Furnished,3000,4,4,7,1,30000,33899.25,101700000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
90,Maharashtra,Mumbai City,Mumbai,Growth / Peripheral,Villa,Fully Furnished,4200,5,5,7,2,30000,37544.69,157690000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
91,Maharashtra,Mumbai Suburban,Mumbai,Core / Established,Apartment,Unfurnished,550,1,1,2,11,25000,29710.63,16340000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
92,Maharashtra,Mumbai Suburban,Mumbai,Core / Established,Apartment,Semi-Furnished,900,2,2,12,2,25000,26499.22,23850000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
93,Maharashtra,Mumbai Suburban,Mumbai,Core / Established,Apartment,Fully Furnished,1350,3,3,15,13,25000,27509.92,37140000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
94,Maharashtra,Mumbai Suburban,Mumbai,Core / Established,Apartment,Fully Furnished,1800,4,4,12,14,25000,30748.87,55350000,2026-09-14,Regional bootstrap estimate anchored to Maharashtra market benchmarks,derived_estimate,,TRUE,Bootstrap/model-development record; not a raw registered transaction.
